Title,Description
"T001: Cache Models & Setup Ollama","Download Q4 GGUF models and configure local Ollama instance with custom Modelfile.

/assign @Nikhil4444
/estimate 2h"
"T002: Compile whisper.cpp","Clone and build whisper.cpp locally with CPU optimization flags (AVX2).

/assign @Nikhil4444
/estimate 1h"
"T003: Scaffold App & DB Init","Create Streamlit app shell and SQLite schema creation scripts (`scripts/init_db.py`).

/assign @Vasishta_K
/estimate 2h"
"T004: Pydantic Schema Layer","Define core data models (PatientRecord, LabMetric) using Pydantic v2 in `core/schemas.py`.

/assign @Vasishta_K
/estimate 2h"
"T005: SQLite Mapping","Write functions to map validated Pydantic objects to SQLite table inserts in `db/database.py`.

/assign @Vasishta_K
/estimate 3h"
"T006: LLM Structural Constraint","Implement retry logic/constrained generation so LLM outputs match Pydantic schemas in `core/inference.py`.

/assign @Nikhil4444
/estimate 4h"
"T007: Audio Ingestion Pipeline","Write Python wrapper to pass uploaded audio to whisper.cpp and retrieve text in `core/audio/`.

/assign @Nikhil4444
/estimate 3h"
"T008: UI Audio Uploader","Implement Streamlit components for drag-and-drop of audio in `app/main.py`.

/assign @Vasishta_K
/estimate 2h"
"T009: Link audio text to visits schema","Connect audio text ingestion to the SQLite visits schema.

/assign @Vasishta_K
/estimate 1h"
"T010: VLM Image Extraction","Engineer prompts and pipeline to pass prescription images/PDFs to local VLM for parsing.

/assign @Nikhil4444
/estimate 3h"
"T011: UI File Uploaders","Implement Streamlit components for drag-and-drop of PDFs and images in `app/main.py`.

/assign @Vasishta_K
/estimate 2h"
"T012: Link parsed LabMetrics to schema","Link the parsed LabMetrics from PDF to the SQLite lab_metrics schema.

/assign @Vasishta_K
/estimate 1h"
"T013: Derived Risk Logic","Build algorithmic evaluator for lab metrics to compute Low/Medium/High risk summaries in `core/logic.py`.

/assign @Nikhil4444
/estimate 2h"
"T014: Analytical Health Charts","Add local chart visualizations for tracking lab metrics and risk over time in `app/components/`.

/assign @Vasishta_K
/estimate 2h"
"T015: Semantic Search Integration","Build a local SQLite search capability to query patient history and meds in `db/queries.py`.

/assign @Vasishta_K
/estimate 3h"
"T016: Patient Timeline Dashboard","Develop Streamlit UI for visual timeline of patient visits and metrics integrating the search.

/assign @Vasishta_K
/estimate 4h"
"T017: Network OFF Verification","Physically disconnect internet and test end-to-end ingestion and chat.

/assign @Nikhil4444
/estimate 1h"
"T018: Inference Optimization","Tune local threads/context size to ensure UI remains responsive during generation.

/assign @Nikhil4444
/estimate 2h"
